"ID","Tagged objects"
"forge:chests","minecraft:ender_chest, minecraft:trapped_chest, upgrade_aquatic:driftwood_trapped_chest, upgrade_aquatic:river_trapped_chest, atmospheric:rosewood_trapped_chest, atmospheric:morado_trapped_chest, atmospheric:yucca_trapped_chest, atmospheric:kousa_trapped_chest, atmospheric:aspen_trapped_chest, atmospheric:grimwood_trapped_chest, autumnity:maple_trapped_chest, quark:oak_trapped_chest, quark:spruce_trapped_chest, quark:birch_trapped_chest, quark:jungle_trapped_chest, quark:acacia_trapped_chest, quark:dark_oak_trapped_chest, quark:warped_trapped_chest, quark:crimson_trapped_chest, quark:nether_brick_trapped_chest, quark:purpur_trapped_chest, quark:prismarine_trapped_chest, quark:mushroom_trapped_chest, minecraft:chest, upgrade_aquatic:driftwood_chest, upgrade_aquatic:river_chest, atmospheric:rosewood_chest, atmospheric:morado_chest, atmospheric:yucca_chest, atmospheric:kousa_chest, atmospheric:aspen_chest, atmospheric:grimwood_chest, autumnity:maple_chest, quark:oak_chest, quark:spruce_chest, quark:birch_chest, quark:jungle_chest, quark:acacia_chest, quark:dark_oak_chest, quark:warped_chest, quark:crimson_chest, quark:nether_brick_chest, quark:purpur_chest, quark:prismarine_chest, quark:mushroom_chest"
"forge:chests/ender","minecraft:ender_chest"
"forge:chests/trapped","minecraft:trapped_chest, upgrade_aquatic:driftwood_trapped_chest, upgrade_aquatic:river_trapped_chest, atmospheric:rosewood_trapped_chest, atmospheric:morado_trapped_chest, atmospheric:yucca_trapped_chest, atmospheric:kousa_trapped_chest, atmospheric:aspen_trapped_chest, atmospheric:grimwood_trapped_chest, autumnity:maple_trapped_chest, quark:oak_trapped_chest, quark:spruce_trapped_chest, quark:birch_trapped_chest, quark:jungle_trapped_chest, quark:acacia_trapped_chest, quark:dark_oak_trapped_chest, quark:warped_trapped_chest, quark:crimson_trapped_chest, quark:nether_brick_trapped_chest, quark:purpur_trapped_chest, quark:prismarine_trapped_chest, quark:mushroom_trapped_chest"
"forge:chests/wooden","minecraft:chest, minecraft:trapped_chest, upgrade_aquatic:driftwood_chest, upgrade_aquatic:driftwood_trapped_chest, upgrade_aquatic:river_chest, upgrade_aquatic:river_trapped_chest, atmospheric:rosewood_chest, atmospheric:rosewood_trapped_chest, atmospheric:morado_chest, atmospheric:morado_trapped_chest, atmospheric:yucca_chest, atmospheric:yucca_trapped_chest, atmospheric:kousa_chest, atmospheric:kousa_trapped_chest, atmospheric:aspen_chest, atmospheric:aspen_trapped_chest, atmospheric:grimwood_chest, atmospheric:grimwood_trapped_chest, autumnity:maple_chest, autumnity:maple_trapped_chest, quark:oak_chest, quark:spruce_chest, quark:birch_chest, quark:jungle_chest, quark:acacia_chest, quark:dark_oak_chest, quark:warped_chest, quark:crimson_chest, quark:oak_trapped_chest, quark:spruce_trapped_chest, quark:birch_trapped_chest, quark:jungle_trapped_chest, quark:acacia_trapped_chest, quark:dark_oak_trapped_chest, quark:warped_trapped_chest, quark:crimson_trapped_chest"
"forge:clay","minecraft:clay_ball"
"forge:coal_coke","immersiveengineering:coal_coke"
"forge:cobblestone","create:granite_cobblestone, create:diorite_cobblestone, create:andesite_cobblestone, create:limestone_cobblestone, create:weathered_limestone_cobblestone, create:dolomite_cobblestone, create:gabbro_cobblestone, create:scoria_cobblestone, create:dark_scoria_cobblestone, minecraft:cobblestone, minecraft:infested_cobblestone, minecraft:mossy_cobblestone, quark:cobbedstone"
"forge:cooked_beef","minecraft:cooked_beef, farmersdelight:beef_patty"
"forge:cooked_chicken","minecraft:cooked_chicken, farmersdelight:cooked_chicken_cuts"
"forge:cooked_eggs","farmersdelight:fried_egg"
"forge:cooked_fishes","minecraft:cooked_cod, farmersdelight:cooked_cod_slice, minecraft:cooked_salmon, farmersdelight:cooked_salmon_slice"
"forge:cooked_fishes/cod","minecraft:cooked_cod, farmersdelight:cooked_cod_slice"
"forge:cooked_fishes/salmon","minecraft:cooked_salmon, farmersdelight:cooked_salmon_slice"
"forge:crops","minecraft:beetroot, minecraft:carrot, minecraft:nether_wart, minecraft:potato, minecraft:wheat, farmersdelight:cabbage, farmersdelight:cabbage_leaf, farmersdelight:onion, farmersdelight:rice, farmersdelight:tomato"
"forge:crops/beetroot","minecraft:beetroot"
"forge:crops/cabbage","farmersdelight:cabbage, farmersdelight:cabbage_leaf"
"forge:crops/carrot","minecraft:carrot"
"forge:crops/nether_wart","minecraft:nether_wart"
"forge:crops/onion","farmersdelight:onion"
"forge:crops/potato","minecraft:potato"
"forge:crops/rice","farmersdelight:rice"
"forge:crops/tomato","farmersdelight:tomato"
"forge:crops/wheat","minecraft:wheat"
"forge:dirt","engineersdecor:dense_grit_dirt_block"
"forge:dusts","minecraft:glowstone_dust, minecraft:prismarine_shard, minecraft:redstone, immersiveengineering:dust_copper, immersiveengineering:dust_aluminum, immersiveengineering:dust_lead, immersiveengineering:dust_silver, immersiveengineering:dust_nickel, immersiveengineering:dust_uranium, immersiveengineering:dust_constantan, immersiveengineering:dust_electrum, immersiveengineering:dust_steel, immersiveengineering:dust_iron, immersiveengineering:dust_gold"
"forge:dusts/aluminum","immersiveengineering:dust_aluminum"
"forge:dusts/coal_coke","immersiveengineering:dust_coke"
"forge:dusts/constantan","immersiveengineering:dust_constantan"
"forge:dusts/copper","immersiveengineering:dust_copper"
"forge:dusts/electrum","immersiveengineering:dust_electrum"
"forge:dusts/glowstone","minecraft:glowstone_dust"
"forge:dusts/gold","immersiveengineering:dust_gold"
"forge:dusts/hop_graphite","immersiveengineering:dust_hop_graphite"
"forge:dusts/iron","immersiveengineering:dust_iron"
"forge:dusts/lead","immersiveengineering:dust_lead"
"forge:dusts/nickel","immersiveengineering:dust_nickel"
"forge:dusts/prismarine","minecraft:prismarine_shard"
"forge:dusts/redstone","minecraft:redstone"
"forge:dusts/saltpeter","immersiveengineering:dust_saltpeter"
"forge:dusts/silver","immersiveengineering:dust_silver"
"forge:dusts/steel","immersiveengineering:dust_steel"
"forge:dusts/sulfur","immersiveengineering:dust_sulfur"
"forge:dusts/uranium","immersiveengineering:dust_uranium"
"forge:dusts/wood","immersiveengineering:dust_wood"
"forge:dyes","minecraft:white_dye, inspirations:white_dyed_bottle, minecraft:orange_dye, inspirations:orange_dyed_bottle, minecraft:magenta_dye, inspirations:magenta_dyed_bottle, minecraft:light_blue_dye, inspirations:light_blue_dyed_bottle, minecraft:yellow_dye, inspirations:yellow_dyed_bottle, minecraft:lime_dye, inspirations:lime_dyed_bottle, minecraft:pink_dye, inspirations:pink_dyed_bottle, minecraft:gray_dye, inspirations:gray_dyed_bottle, minecraft:light_gray_dye, inspirations:light_gray_dyed_bottle, minecraft:cyan_dye, inspirations:cyan_dyed_bottle, minecraft:purple_dye, inspirations:purple_dyed_bottle, minecraft:blue_dye, inspirations:blue_dyed_bottle, minecraft:brown_dye, inspirations:brown_dyed_bottle, minecraft:green_dye, inspirations:green_dyed_bottle, minecraft:red_dye, inspirations:red_dyed_bottle, minecraft:black_dye, inspirations:black_dyed_bottle"
"forge:dyes/black","minecraft:black_dye, inspirations:black_dyed_bottle"
"forge:dyes/blue","minecraft:blue_dye, inspirations:blue_dyed_bottle"
"forge:dyes/brown","minecraft:brown_dye, inspirations:brown_dyed_bottle"
"forge:dyes/cyan","minecraft:cyan_dye, inspirations:cyan_dyed_bottle"
"forge:dyes/gray","minecraft:gray_dye, inspirations:gray_dyed_bottle"
"forge:dyes/green","minecraft:green_dye, inspirations:green_dyed_bottle"
"forge:dyes/light_blue","minecraft:light_blue_dye, inspirations:light_blue_dyed_bottle"
"forge:dyes/light_gray","minecraft:light_gray_dye, inspirations:light_gray_dyed_bottle"
"forge:dyes/lime","minecraft:lime_dye, inspirations:lime_dyed_bottle"
"forge:dyes/magenta","minecraft:magenta_dye, inspirations:magenta_dyed_bottle"
"forge:dyes/orange","minecraft:orange_dye, inspirations:orange_dyed_bottle"
"forge:dyes/pink","minecraft:pink_dye, inspirations:pink_dyed_bottle"
"forge:dyes/purple","minecraft:purple_dye, inspirations:purple_dyed_bottle"
"forge:dyes/red","minecraft:red_dye, inspirations:red_dyed_bottle"
"forge:dyes/white","minecraft:white_dye, inspirations:white_dyed_bottle"
"forge:dyes/yellow","minecraft:yellow_dye, inspirations:yellow_dyed_bottle"
"forge:eggs","minecraft:egg, autumnity:turkey_egg"
"forge:end_stones","minecraft:end_stone"
"forge:ender_pearls","minecraft:ender_pearl"
"forge:fabric_hemp","immersiveengineering:hemp_fabric"
"forge:feathers","minecraft:feather"
"forge:fence_gates","minecraft:oak_fence_gate, minecraft:spruce_fence_gate, minecraft:birch_fence_gate, minecraft:jungle_fence_gate, minecraft:acacia_fence_gate, minecraft:dark_oak_fence_gate, minecraft:crimson_fence_gate, minecraft:warped_fence_gate, upgrade_aquatic:driftwood_fence_gate, upgrade_aquatic:river_fence_gate, atmospheric:rosewood_fence_gate, atmospheric:morado_fence_gate, atmospheric:yucca_fence_gate, atmospheric:kousa_fence_gate, atmospheric:aspen_fence_gate, atmospheric:grimwood_fence_gate, autumnity:maple_fence_gate, quark:nether_brick_fence_gate"
"forge:fence_gates/wooden","minecraft:oak_fence_gate, minecraft:spruce_fence_gate, minecraft:birch_fence_gate, minecraft:jungle_fence_gate, minecraft:acacia_fence_gate, minecraft:dark_oak_fence_gate, minecraft:crimson_fence_gate, minecraft:warped_fence_gate, upgrade_aquatic:driftwood_fence_gate, upgrade_aquatic:river_fence_gate, atmospheric:rosewood_fence_gate, atmospheric:morado_fence_gate, atmospheric:yucca_fence_gate, atmospheric:kousa_fence_gate, atmospheric:aspen_fence_gate, atmospheric:grimwood_fence_gate, autumnity:maple_fence_gate"
"forge:fences","minecraft:nether_brick_fence, minecraft:oak_fence, minecraft:spruce_fence, minecraft:birch_fence, minecraft:jungle_fence, minecraft:acacia_fence, minecraft:dark_oak_fence, minecraft:crimson_fence, minecraft:warped_fence, upgrade_aquatic:driftwood_fence, upgrade_aquatic:river_fence, atmospheric:rosewood_fence, atmospheric:morado_fence, atmospheric:yucca_fence, atmospheric:kousa_fence, atmospheric:aspen_fence, atmospheric:grimwood_fence, autumnity:maple_fence"
"forge:fences/nether_brick","minecraft:nether_brick_fence"
"forge:fences/wooden","minecraft:oak_fence, minecraft:spruce_fence, minecraft:birch_fence, minecraft:jungle_fence, minecraft:acacia_fence, minecraft:dark_oak_fence, minecraft:crimson_fence, minecraft:warped_fence, upgrade_aquatic:driftwood_fence, upgrade_aquatic:river_fence, atmospheric:rosewood_fence, atmospheric:morado_fence, atmospheric:yucca_fence, atmospheric:kousa_fence, atmospheric:aspen_fence, atmospheric:grimwood_fence, autumnity:maple_fence"
"forge:fiber_hemp","immersiveengineering:hemp_fiber"
"forge:fruits","integrateddynamics:menril_berries"
"forge:fruits/passionfruit","atmospheric:passionfruit"
"forge:gems","minecraft:diamond, minecraft:emerald, minecraft:lapis_lazuli, minecraft:prismarine_crystals, minecraft:quartz"
"forge:gems/biotite","quark:biotite"
"forge:gems/diamond","minecraft:diamond"
"forge:gems/emerald","minecraft:emerald"
"forge:gems/lapis","minecraft:lapis_lazuli"
"forge:gems/prismarine","minecraft:prismarine_crystals"
"forge:gems/quartz","minecraft:quartz"
