"Mod name","Registry name","Item ID","Display name","Recipe name","Tags"
"Additional Lights","additional_lights:fire_pit_l_polished_diorite",2009,"Polished Diorite Fire Pit - L","additional_lights:fire_pit_l_polished_diorite",""
"Additional Lights","additional_lights:fire_pit_l_polished_granite",2010,"Polished Granite Fire Pit - L","additional_lights:fire_pit_l_polished_granite",""
"Additional Lights","additional_lights:fire_pit_l_red_nether_bricks",2016,"Red Nether Bricks Fire Pit - L","additional_lights:fire_pit_l_red_nether_bricks",""
"Additional Lights","additional_lights:fire_pit_l_sandstone",2011,"SandStone Fire Pit - L","additional_lights:fire_pit_l_sandstone",""
"Additional Lights","additional_lights:fire_pit_l_smooth_stone",2007,"Smooth Stone Fire Pit - L","additional_lights:fire_pit_l_smooth_stone",""
"Additional Lights","additional_lights:fire_pit_l_stone",2004,"Stone Fire Pit - L","additional_lights:fire_pit_l_stone",""
"Additional Lights","additional_lights:fire_pit_l_stone_bricks",2005,"Stone Bricks Fire Pit - L","additional_lights:fire_pit_l_stone_bricks",""
"Additional Lights","additional_lights:fire_pit_s_cobblestone",1980,"CobbleStone Fire Pit","additional_lights:fire_pit_s_cobblestone",""
"Additional Lights","additional_lights:fire_pit_s_cut_sandstone",1990,"Cut SandStone Fire Pit","additional_lights:fire_pit_s_cut_sandstone",""
"Additional Lights","additional_lights:fire_pit_s_diamond_block",1998,"Diamond Fire Pit","additional_lights:fire_pit_s_diamond_block",""
"Additional Lights","additional_lights:fire_pit_s_end_stone",1991,"End Stone Fire Pit","additional_lights:fire_pit_s_end_stone",""
"Additional Lights","additional_lights:fire_pit_s_end_stone_bricks",1992,"End Stone Bricks Fire Pit","additional_lights:fire_pit_s_end_stone_bricks",""
"Additional Lights","additional_lights:fire_pit_s_gold_block",1997,"Gold Fire Pit","additional_lights:fire_pit_s_gold_block",""
"Additional Lights","additional_lights:fire_pit_s_iron_block",1996,"Iron Fire Pit","additional_lights:fire_pit_s_iron_block",""
"Additional Lights","additional_lights:fire_pit_s_magenta_wool",2001,"Magenta Wool Fire Pit","additional_lights:fire_pit_s_magenta_wool",""
"Additional Lights","additional_lights:fire_pit_s_mossy_cobblestone",1981,"Mossy CobbleStone Fire Pit","additional_lights:fire_pit_s_mossy_cobblestone",""
"Additional Lights","additional_lights:fire_pit_s_mossy_stone_bricks",1984,"Mossy Stone Bricks Fire Pit","additional_lights:fire_pit_s_mossy_stone_bricks",""
"Additional Lights","additional_lights:fire_pit_s_nether_bricks",1993,"Nether Bricks Fire Pit","additional_lights:fire_pit_s_nether_bricks",""
"Additional Lights","additional_lights:fire_pit_s_packed_ice",1999,"Ice Fire Pit","additional_lights:fire_pit_s_packed_ice",""
"Additional Lights","additional_lights:fire_pit_s_pink_wool",2000,"Pink Wool Fire Pit","additional_lights:fire_pit_s_pink_wool",""
"Additional Lights","additional_lights:fire_pit_s_polished_andesite",1986,"Polished Andesite Fire Pit","additional_lights:fire_pit_s_polished_andesite",""
"Additional Lights","additional_lights:fire_pit_s_polished_blackstone",1995,"Polished BlackStone Fire Pit","additional_lights:fire_pit_s_polished_blackstone",""
"Additional Lights","additional_lights:fire_pit_s_polished_diorite",1987,"Polished Diorite Fire Pit","additional_lights:fire_pit_s_polished_diorite",""
"Additional Lights","additional_lights:fire_pit_s_polished_granite",1988,"Polished Granite Fire Pit","additional_lights:fire_pit_s_polished_granite",""
"Additional Lights","additional_lights:fire_pit_s_red_nether_bricks",1994,"Red Nether Bricks Fire Pit","additional_lights:fire_pit_s_red_nether_bricks",""
"Additional Lights","additional_lights:fire_pit_s_sandstone",1989,"SandStone Fire Pit","additional_lights:fire_pit_s_sandstone",""
"Additional Lights","additional_lights:fire_pit_s_smooth_stone",1985,"Smooth Stone Fire Pit","additional_lights:fire_pit_s_smooth_stone",""
"Additional Lights","additional_lights:fire_pit_s_stone",1982,"Stone Fire Pit","additional_lights:fire_pit_s_stone",""
"Additional Lights","additional_lights:fire_pit_s_stone_bricks",1983,"Stone Bricks Fire Pit","additional_lights:fire_pit_s_stone_bricks",""
"Additional Lights","additional_lights:soul_fire_for_fire_pit_l",2031,"Soul Fire For Fire Pit L","additional_lights:soul_fire_for_fire_pit_l",""
"Additional Lights","additional_lights:soul_fire_for_fire_pit_s",2030,"Soul Fire For Fire Pit","additional_lights:soul_fire_for_fire_pit_s",""
"Additional Lights","additional_lights:soul_fire_for_standing_torch_l",2029,"Soul Fire For Standing Torch L","additional_lights:soul_fire_for_standing_torch_l",""
"Additional Lights","additional_lights:soul_fire_for_standing_torch_s",2028,"Soul Fire For Standing Torch","additional_lights:soul_fire_for_standing_torch_s",""
"Additional Lights","additional_lights:soul_wand",2032,"Soul Wand","additional_lights:soul_wand",""
"Additional Lights","additional_lights:standing_torch_l_cobblestone",1958,"CobbleStone Standing Torch - L","additional_lights:standing_torch_l_cobblestone",""
"Additional Lights","additional_lights:standing_torch_l_cut_sandstone",1968,"Cut SandStone Standing Torch - L","additional_lights:standing_torch_l_cut_sandstone",""
"Additional Lights","additional_lights:standing_torch_l_diamond_block",1976,"Diamond Standing Torch - L","additional_lights:standing_torch_l_diamond_block",""
"Additional Lights","additional_lights:standing_torch_l_end_stone",1969,"End Stone Standing Torch - L","additional_lights:standing_torch_l_end_stone",""
"Additional Lights","additional_lights:standing_torch_l_end_stone_bricks",1970,"End Stone Bricks Standing Torch - L","additional_lights:standing_torch_l_end_stone_bricks",""
"Additional Lights","additional_lights:standing_torch_l_gold_block",1975,"Gold Standing Torch - L","additional_lights:standing_torch_l_gold_block",""
"Additional Lights","additional_lights:standing_torch_l_iron_block",1974,"Iron Standing Torch - L","additional_lights:standing_torch_l_iron_block",""
"Additional Lights","additional_lights:standing_torch_l_magenta_wool",1979,"Magenta Wool Standing Torch - L","additional_lights:standing_torch_l_magenta_wool",""
"Additional Lights","additional_lights:standing_torch_l_mossy_cobblestone",1959,"Mossy CobbleStone Standing Torch - L","additional_lights:standing_torch_l_mossy_cobblestone",""
"Additional Lights","additional_lights:standing_torch_l_mossy_stone_bricks",1962,"Mossy Stone Bricks Standing Torch - L","additional_lights:standing_torch_l_mossy_stone_bricks",""
"Additional Lights","additional_lights:standing_torch_l_nether_bricks",1971,"Nether Bricks Standing Torch - L","additional_lights:standing_torch_l_nether_bricks",""
"Additional Lights","additional_lights:standing_torch_l_packed_ice",1977,"Ice Standing Torch - L","additional_lights:standing_torch_l_packed_ice",""
"Additional Lights","additional_lights:standing_torch_l_pink_wool",1978,"Pink Wool Standing Torch - L","additional_lights:standing_torch_l_pink_wool",""
"Additional Lights","additional_lights:standing_torch_l_polished_andesite",1964,"Polished Andesite Standing Torch - L","additional_lights:standing_torch_l_polished_andesite",""
"Additional Lights","additional_lights:standing_torch_l_polished_blackstone",1973,"Polished BlackStone Standing Torch - L","additional_lights:standing_torch_l_polished_blackstone",""
"Additional Lights","additional_lights:standing_torch_l_polished_diorite",1965,"Polished Diorite Standing Torch - L","additional_lights:standing_torch_l_polished_diorite",""
"Additional Lights","additional_lights:standing_torch_l_polished_granite",1966,"Polished Granite Standing Torch - L","additional_lights:standing_torch_l_polished_granite",""
"Additional Lights","additional_lights:standing_torch_l_red_nether_bricks",1972,"Red Nether Bricks Standing Torch - L","additional_lights:standing_torch_l_red_nether_bricks",""
"Additional Lights","additional_lights:standing_torch_l_sandstone",1967,"SandStone Standing Torch - L","additional_lights:standing_torch_l_sandstone",""
"Additional Lights","additional_lights:standing_torch_l_smooth_stone",1963,"Smooth Stone Standing Torch - L","additional_lights:standing_torch_l_smooth_stone",""
"Additional Lights","additional_lights:standing_torch_l_stone",1960,"Stone Standing Torch - L","additional_lights:standing_torch_l_stone",""
"Additional Lights","additional_lights:standing_torch_l_stone_bricks",1961,"Stone Bricks Standing Torch - L","additional_lights:standing_torch_l_stone_bricks",""
"Additional Lights","additional_lights:standing_torch_s_cobblestone",1936,"CobbleStone Standing Torch","additional_lights:standing_torch_s_cobblestone",""
"Additional Lights","additional_lights:standing_torch_s_cut_sandstone",1946,"Cut SandStone Standing Torch","additional_lights:standing_torch_s_cut_sandstone",""
"Additional Lights","additional_lights:standing_torch_s_diamond_block",1954,"Diamond Standing Torch","additional_lights:standing_torch_s_diamond_block",""
"Additional Lights","additional_lights:standing_torch_s_end_stone",1947,"End Stone Standing Torch","additional_lights:standing_torch_s_end_stone",""
"Additional Lights","additional_lights:standing_torch_s_end_stone_bricks",1948,"End Stone Bricks Standing Torch","additional_lights:standing_torch_s_end_stone_bricks",""
"Additional Lights","additional_lights:standing_torch_s_gold_block",1953,"Gold Standing Torch","additional_lights:standing_torch_s_gold_block",""
"Additional Lights","additional_lights:standing_torch_s_iron_block",1952,"Iron  Standing Torch","additional_lights:standing_torch_s_iron_block",""
"Additional Lights","additional_lights:standing_torch_s_magenta_wool",1957,"Magenta Wool Standing Torch","additional_lights:standing_torch_s_magenta_wool",""
"Additional Lights","additional_lights:standing_torch_s_mossy_cobblestone",1937,"Mossy CobbleStone Standing Torch","additional_lights:standing_torch_s_mossy_cobblestone",""
"Additional Lights","additional_lights:standing_torch_s_mossy_stone_bricks",1940,"Mossy Stone Bricks Standing Torch","additional_lights:standing_torch_s_mossy_stone_bricks",""
"Additional Lights","additional_lights:standing_torch_s_nether_bricks",1949,"Nether Bricks Standing Torch","additional_lights:standing_torch_s_nether_bricks",""
"Additional Lights","additional_lights:standing_torch_s_packed_ice",1955,"Ice Standing Torch","additional_lights:standing_torch_s_packed_ice",""
"Additional Lights","additional_lights:standing_torch_s_pink_wool",1956,"Pink Wool Standing Torch","additional_lights:standing_torch_s_pink_wool",""
"Additional Lights","additional_lights:standing_torch_s_polished_andesite",1942,"Polished Andesite Standing Torch","additional_lights:standing_torch_s_polished_andesite",""
"Additional Lights","additional_lights:standing_torch_s_polished_blackstone",1951,"Polished BlackStone Standing Torch","additional_lights:standing_torch_s_polished_blackstone",""
"Additional Lights","additional_lights:standing_torch_s_polished_diorite",1943,"Polished Diorite Standing Torch","additional_lights:standing_torch_s_polished_diorite",""
"Additional Lights","additional_lights:standing_torch_s_polished_granite",1944,"Polished Granite Standing Torch","additional_lights:standing_torch_s_polished_granite",""
"Additional Lights","additional_lights:standing_torch_s_red_nether_bricks",1950,"Red Nether Bricks Standing Torch","additional_lights:standing_torch_s_red_nether_bricks",""
"Additional Lights","additional_lights:standing_torch_s_sandstone",1945,"SandStone Standing Torch","additional_lights:standing_torch_s_sandstone",""
"Additional Lights","additional_lights:standing_torch_s_smooth_stone",1941,"Smooth Stone Standing Torch","additional_lights:standing_torch_s_smooth_stone",""
"Additional Lights","additional_lights:standing_torch_s_stone",1938,"Stone Standing Torch","additional_lights:standing_torch_s_stone",""
"Additional Lights","additional_lights:standing_torch_s_stone_bricks",1939,"Stone Bricks Standing Torch","additional_lights:standing_torch_s_stone_bricks",""
"Atmospheric","atmospheric:aloe_bundle",3383,"Aloe Bundle","atmospheric:aloe_bundle",""
"Atmospheric","atmospheric:aloe_gel_block",3384,"Aloe Gel Block","atmospheric:aloe_gel_block",""
"Atmospheric","atmospheric:aloe_gel_bottle",3252,"Aloe Gel Bottle","atmospheric:aloe_gel_bottle",""
"Atmospheric","atmospheric:aloe_gel_bottle",3252,"Aloe Gel Bottle","atmospheric:aloe_gel_bottle_from_block",""
"Atmospheric","atmospheric:aloe_leaves",3251,"Aloe Leaves","atmospheric:aloe_bundle_uncompress",""
"Atmospheric","atmospheric:arid_sandstone",3340,"Arid Sandstone","atmospheric:arid_sandstone","forge:sandstone"
"Atmospheric","atmospheric:arid_sandstone_brick_slab",3390,"Arid Sandstone Brick Slab","atmospheric:arid_sandstone_brick_slab","minecraft:slabs"
"Atmospheric","atmospheric:arid_sandstone_brick_slab",3390,"Arid Sandstone Brick Slab","atmospheric:arid_sandstone_brick_slab_from_arid_sandstone_brick_stonecutting","minecraft:slabs"
"Atmospheric","atmospheric:arid_sandstone_brick_slab",3390,"Arid Sandstone Brick Slab","atmospheric:arid_sandstone_brick_vertical_slab_revert","minecraft:slabs"
"Atmospheric","atmospheric:arid_sandstone_brick_stairs",3391,"Arid Sandstone Brick Stairs","atmospheric:arid_sandstone_brick_stairs","minecraft:stairs"
"Atmospheric","atmospheric:arid_sandstone_brick_stairs",3391,"Arid Sandstone Brick Stairs","atmospheric:arid_sandstone_brick_stairs_from_arid_sandstone_brick_stonecutting","minecraft:stairs"
"Atmospheric","atmospheric:arid_sandstone_brick_vertical_slab",3393,"Arid Sandstone Brick Vertical Slab","atmospheric:arid_sandstone_brick_vertical_slab",""
"Atmospheric","atmospheric:arid_sandstone_brick_vertical_slab",3393,"Arid Sandstone Brick Vertical Slab","atmospheric:arid_sandstone_brick_vertical_slab_from_arid_sandstone_brick_stonecutting",""
"Atmospheric","atmospheric:arid_sandstone_brick_wall",3392,"Arid Sandstone Brick Wall","atmospheric:arid_sandstone_brick_wall","minecraft:walls"
"Atmospheric","atmospheric:arid_sandstone_brick_wall",3392,"Arid Sandstone Brick Wall","atmospheric:arid_sandstone_brick_wall_from_arid_sandstone_brick_stonecutting","minecraft:walls"
"Atmospheric","atmospheric:arid_sandstone_bricks",3389,"Arid Sandstone Bricks","atmospheric:arid_sandstone_bricks",""
"Atmospheric","atmospheric:arid_sandstone_bricks",3389,"Arid Sandstone Bricks","atmospheric:arid_sandstone_bricks_from_arid_sandstone_stonecutting",""
"Atmospheric","atmospheric:arid_sandstone_bricks",3389,"Arid Sandstone Bricks","atmospheric:arid_sandstone_bricks_from_cut_arid_sandstone_stonecutting",""
"Atmospheric","atmospheric:arid_sandstone_slab",3341,"Arid Sandstone Slab","atmospheric:arid_sandstone_slab","minecraft:slabs"
"Atmospheric","atmospheric:arid_sandstone_slab",3341,"Arid Sandstone Slab","atmospheric:arid_sandstone_slab_from_arid_sandstone_stonecutting","minecraft:slabs"
"Atmospheric","atmospheric:arid_sandstone_slab",3341,"Arid Sandstone Slab","atmospheric:arid_sandstone_vertical_slab_revert","minecraft:slabs"
"Atmospheric","atmospheric:arid_sandstone_stairs",3342,"Arid Sandstone Stairs","atmospheric:arid_sandstone_stairs","minecraft:stairs"
"Atmospheric","atmospheric:arid_sandstone_stairs",3342,"Arid Sandstone Stairs","atmospheric:arid_sandstone_stairs_from_arid_sandstone_stonecutting","minecraft:stairs"
"Atmospheric","atmospheric:arid_sandstone_vertical_slab",3386,"Arid Sandstone Vertical Slab","atmospheric:arid_sandstone_vertical_slab",""
"Atmospheric","atmospheric:arid_sandstone_vertical_slab",3386,"Arid Sandstone Vertical Slab","atmospheric:arid_sandstone_vertical_slab_from_arid_sandstone_stonecutting",""
"Atmospheric","atmospheric:arid_sandstone_wall",3343,"Arid Sandstone Wall","atmospheric:arid_sandstone_wall","minecraft:walls"
"Atmospheric","atmospheric:arid_sandstone_wall",3343,"Arid Sandstone Wall","atmospheric:arid_sandstone_wall_from_arid_sandstone_stonecutting","minecraft:walls"
"Atmospheric","atmospheric:aspen_beehive",3460,"Aspen Beehive","atmospheric:aspen_beehive",""
"Atmospheric","atmospheric:aspen_boat",3494,"Aspen Boat","atmospheric:aspen_boat","minecraft:boats"
"Atmospheric","atmospheric:aspen_bookshelf",3457,"Aspen Bookshelf","atmospheric:aspen_bookshelf","forge:bookshelves"
"Atmospheric","atmospheric:aspen_button",3452,"Aspen Button","atmospheric:aspen_button","minecraft:buttons, minecraft:wooden_buttons, rsgauges:buttons"
"Atmospheric","atmospheric:aspen_chest",3461,"Aspen Chest","atmospheric:aspen_chest","forge:chests, forge:chests/wooden, quark:boatable_chests"
"Atmospheric","atmospheric:aspen_chest",3461,"Aspen Chest","atmospheric:aspen_chest_wood","forge:chests, forge:chests/wooden, quark:boatable_chests"
"Atmospheric","atmospheric:aspen_door",3453,"Aspen Door","atmospheric:aspen_door","minecraft:doors, minecraft:wooden_doors"
"Atmospheric","atmospheric:aspen_fence",3449,"Aspen Fence","atmospheric:aspen_fence","forge:fences, forge:fences/wooden, minecraft:fences, minecraft:wooden_fences"
"Atmospheric","atmospheric:aspen_fence_gate",3451,"Aspen Fence Gate","atmospheric:aspen_fence_gate","forge:fence_gates, forge:fence_gates/wooden"
"Atmospheric","atmospheric:aspen_ladder",3458,"Aspen Ladder","atmospheric:aspen_ladder","quark:ladders"
"Atmospheric","atmospheric:aspen_leaf_carpet",3459,"Aspen Leaf Carpet","atmospheric:aspen_leaf_carpet",""
"Atmospheric","atmospheric:aspen_planks",3437,"Aspen Planks","atmospheric:aspen_planks","minecraft:planks"
"Atmospheric","atmospheric:aspen_planks",3437,"Aspen Planks","atmospheric:vertical_aspen_planks_revert","minecraft:planks"
"Atmospheric","atmospheric:aspen_pressure_plate",3448,"Aspen Pressure Plate","atmospheric:aspen_pressure_plate","minecraft:wooden_pressure_plates, rsgauges:pressure_plates"
"Atmospheric","atmospheric:aspen_sign",3454,"Aspen Sign","atmospheric:aspen_sign","minecraft:signs"
"Atmospheric","atmospheric:aspen_slab",3446,"Aspen Slab","atmospheric:aspen_slab","minecraft:slabs, minecraft:wooden_slabs"
"Atmospheric","atmospheric:aspen_slab",3446,"Aspen Slab","atmospheric:aspen_vertical_slab_revert","minecraft:slabs, minecraft:wooden_slabs"
"Atmospheric","atmospheric:aspen_stairs",3447,"Aspen Stairs","atmospheric:aspen_stairs","minecraft:stairs, minecraft:wooden_stairs"
"Atmospheric","atmospheric:aspen_trapdoor",3450,"Aspen Trapdoor","atmospheric:aspen_trapdoor","minecraft:trapdoors, minecraft:wooden_trapdoors"
"Atmospheric","atmospheric:aspen_trapped_chest",3462,"Aspen Trapped Chest","atmospheric:aspen_trapped_chest","forge:chests, forge:chests/trapped, forge:chests/wooden"
"Atmospheric","atmospheric:aspen_vertical_slab",3456,"Aspen Vertical Slab","atmospheric:aspen_vertical_slab",""
"Atmospheric","atmospheric:aspen_wood",3443,"Aspen Wood","atmospheric:aspen_wood","atmospheric:aspen_logs, minecraft:logs, minecraft:logs_that_burn"
"Atmospheric","atmospheric:barrel_cactus",3385,"Barrel Cactus","atmospheric:barrel_cactus_batch_uncompress",""
"Atmospheric","atmospheric:barrel_cactus_batch",3412,"Barrel Cactus Batch","atmospheric:barrel_cactus_batch",""
"Atmospheric","atmospheric:chiseled_arid_sandstone",3349,"Chiseled Arid Sandstone","atmospheric:chiseled_arid_sandstone","forge:sandstone"
"Atmospheric","atmospheric:chiseled_arid_sandstone",3349,"Chiseled Arid Sandstone","atmospheric:chiseled_arid_sandstone_from_arid_sandstone_stonecutting","forge:sandstone"
"Atmospheric","atmospheric:chiseled_ivory_travertine",3315,"Chiseled Ivory Travertine","atmospheric:chiseled_ivory_travertine",""
"Atmospheric","atmospheric:chiseled_ivory_travertine",3315,"Chiseled Ivory Travertine","atmospheric:chiseled_ivory_travertine_from_cut_ivory_travertine_stonecutting",""
"Atmospheric","atmospheric:chiseled_ivory_travertine",3315,"Chiseled Ivory Travertine","atmospheric:chiseled_ivory_travertine_from_ivory_travertine_stonecutting",""
"Atmospheric","atmospheric:chiseled_peach_travertine",3316,"Chiseled Peach Travertine","atmospheric:chiseled_peach_travertine",""
"Atmospheric","atmospheric:chiseled_peach_travertine",3316,"Chiseled Peach Travertine","atmospheric:chiseled_peach_travertine_from_cut_peach_travertine_stonecutting",""
"Atmospheric","atmospheric:chiseled_peach_travertine",3316,"Chiseled Peach Travertine","atmospheric:chiseled_peach_travertine_from_peach_travertine_stonecutting",""
"Atmospheric","atmospheric:chiseled_persimmon_travertine",3317,"Chiseled Persimmon Travertine","atmospheric:chiseled_persimmon_travertine",""
