"Mod name","Registry name","Item ID","Display name"
"Additional Lights","additional_lights:fire_pit_l_end_stone_bricks",2014,"End Stone Bricks Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_gold_block",2019,"Gold Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_iron_block",2018,"Iron Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_magenta_wool",2023,"Magenta Wool Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_mossy_cobblestone",2003,"Mossy CobbleStone Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_mossy_stone_bricks",2006,"Mossy Stone Bricks Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_nether_bricks",2015,"Nether Bricks Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_packed_ice",2021,"Ice Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_pink_wool",2022,"Pink Wool Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_polished_andesite",2008,"Polished Andesite Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_polished_blackstone",2017,"Polished BlackStone Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_polished_diorite",2009,"Polished Diorite Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_polished_granite",2010,"Polished Granite Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_red_nether_bricks",2016,"Red Nether Bricks Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_sandstone",2011,"SandStone Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_smooth_stone",2007,"Smooth Stone Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_stone",2004,"Stone Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_l_stone_bricks",2005,"Stone Bricks Fire Pit - L"
"Additional Lights","additional_lights:fire_pit_s_cobblestone",1980,"CobbleStone Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_cut_sandstone",1990,"Cut SandStone Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_diamond_block",1998,"Diamond Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_end_stone",1991,"End Stone Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_end_stone_bricks",1992,"End Stone Bricks Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_gold_block",1997,"Gold Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_iron_block",1996,"Iron Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_magenta_wool",2001,"Magenta Wool Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_mossy_cobblestone",1981,"Mossy CobbleStone Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_mossy_stone_bricks",1984,"Mossy Stone Bricks Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_nether_bricks",1993,"Nether Bricks Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_packed_ice",1999,"Ice Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_pink_wool",2000,"Pink Wool Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_polished_andesite",1986,"Polished Andesite Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_polished_blackstone",1995,"Polished BlackStone Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_polished_diorite",1987,"Polished Diorite Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_polished_granite",1988,"Polished Granite Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_red_nether_bricks",1994,"Red Nether Bricks Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_sandstone",1989,"SandStone Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_smooth_stone",1985,"Smooth Stone Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_stone",1982,"Stone Fire Pit"
"Additional Lights","additional_lights:fire_pit_s_stone_bricks",1983,"Stone Bricks Fire Pit"
"Additional Lights","additional_lights:soul_fire_for_fire_pit_l",2031,"Soul Fire For Fire Pit L"
"Additional Lights","additional_lights:soul_fire_for_fire_pit_s",2030,"Soul Fire For Fire Pit"
"Additional Lights","additional_lights:soul_fire_for_standing_torch_l",2029,"Soul Fire For Standing Torch L"
"Additional Lights","additional_lights:soul_fire_for_standing_torch_s",2028,"Soul Fire For Standing Torch"
"Additional Lights","additional_lights:soul_wand",2032,"Soul Wand"
"Additional Lights","additional_lights:standing_torch_l_cobblestone",1958,"CobbleStone Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_cut_sandstone",1968,"Cut SandStone Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_diamond_block",1976,"Diamond Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_end_stone",1969,"End Stone Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_end_stone_bricks",1970,"End Stone Bricks Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_gold_block",1975,"Gold Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_iron_block",1974,"Iron Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_magenta_wool",1979,"Magenta Wool Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_mossy_cobblestone",1959,"Mossy CobbleStone Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_mossy_stone_bricks",1962,"Mossy Stone Bricks Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_nether_bricks",1971,"Nether Bricks Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_packed_ice",1977,"Ice Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_pink_wool",1978,"Pink Wool Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_polished_andesite",1964,"Polished Andesite Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_polished_blackstone",1973,"Polished BlackStone Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_polished_diorite",1965,"Polished Diorite Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_polished_granite",1966,"Polished Granite Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_red_nether_bricks",1972,"Red Nether Bricks Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_sandstone",1967,"SandStone Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_smooth_stone",1963,"Smooth Stone Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_stone",1960,"Stone Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_l_stone_bricks",1961,"Stone Bricks Standing Torch - L"
"Additional Lights","additional_lights:standing_torch_s_cobblestone",1936,"CobbleStone Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_cut_sandstone",1946,"Cut SandStone Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_diamond_block",1954,"Diamond Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_end_stone",1947,"End Stone Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_end_stone_bricks",1948,"End Stone Bricks Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_gold_block",1953,"Gold Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_iron_block",1952,"Iron  Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_magenta_wool",1957,"Magenta Wool Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_mossy_cobblestone",1937,"Mossy CobbleStone Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_mossy_stone_bricks",1940,"Mossy Stone Bricks Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_nether_bricks",1949,"Nether Bricks Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_packed_ice",1955,"Ice Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_pink_wool",1956,"Pink Wool Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_polished_andesite",1942,"Polished Andesite Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_polished_blackstone",1951,"Polished BlackStone Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_polished_diorite",1943,"Polished Diorite Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_polished_granite",1944,"Polished Granite Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_red_nether_bricks",1950,"Red Nether Bricks Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_sandstone",1945,"SandStone Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_smooth_stone",1941,"Smooth Stone Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_stone",1938,"Stone Standing Torch"
"Additional Lights","additional_lights:standing_torch_s_stone_bricks",1939,"Stone Bricks Standing Torch"
"Atmospheric","atmospheric:aloe_bundle",3383,"Aloe Bundle"
"Atmospheric","atmospheric:aloe_gel_block",3384,"Aloe Gel Block"
"Atmospheric","atmospheric:aloe_gel_bottle",3252,"Aloe Gel Bottle"
"Atmospheric","atmospheric:aloe_kernels",3250,"Aloe Kernels"
"Atmospheric","atmospheric:aloe_leaves",3251,"Aloe Leaves"
"Atmospheric","atmospheric:arid_sand",3339,"Arid Sand"
"Atmospheric","atmospheric:arid_sandstone",3340,"Arid Sandstone"
"Atmospheric","atmospheric:arid_sandstone_brick_slab",3390,"Arid Sandstone Brick Slab"
"Atmospheric","atmospheric:arid_sandstone_brick_stairs",3391,"Arid Sandstone Brick Stairs"
"Atmospheric","atmospheric:arid_sandstone_brick_vertical_slab",3393,"Arid Sandstone Brick Vertical Slab"
"Atmospheric","atmospheric:arid_sandstone_brick_wall",3392,"Arid Sandstone Brick Wall"
"Atmospheric","atmospheric:arid_sandstone_bricks",3389,"Arid Sandstone Bricks"
"Atmospheric","atmospheric:arid_sandstone_slab",3341,"Arid Sandstone Slab"
"Atmospheric","atmospheric:arid_sandstone_stairs",3342,"Arid Sandstone Stairs"
"Atmospheric","atmospheric:arid_sandstone_vertical_slab",3386,"Arid Sandstone Vertical Slab"
"Atmospheric","atmospheric:arid_sandstone_wall",3343,"Arid Sandstone Wall"
"Atmospheric","atmospheric:aspen_beehive",3460,"Aspen Beehive"
"Atmospheric","atmospheric:aspen_boat",3494,"Aspen Boat"
"Atmospheric","atmospheric:aspen_bookshelf",3457,"Aspen Bookshelf"
"Atmospheric","atmospheric:aspen_button",3452,"Aspen Button"
"Atmospheric","atmospheric:aspen_chest",3461,"Aspen Chest"
"Atmospheric","atmospheric:aspen_door",3453,"Aspen Door"
"Atmospheric","atmospheric:aspen_fence",3449,"Aspen Fence"
"Atmospheric","atmospheric:aspen_fence_gate",3451,"Aspen Fence Gate"
"Atmospheric","atmospheric:aspen_ladder",3458,"Aspen Ladder"
"Atmospheric","atmospheric:aspen_leaf_carpet",3459,"Aspen Leaf Carpet"
"Atmospheric","atmospheric:aspen_leaves",3445,"Aspen Leaves"
"Atmospheric","atmospheric:aspen_log",3440,"Aspen Log"
"Atmospheric","atmospheric:aspen_planks",3437,"Aspen Planks"
"Atmospheric","atmospheric:aspen_pressure_plate",3448,"Aspen Pressure Plate"
"Atmospheric","atmospheric:aspen_sapling",3438,"Aspen Sapling"
"Atmospheric","atmospheric:aspen_sign",3454,"Aspen Sign"
"Atmospheric","atmospheric:aspen_slab",3446,"Aspen Slab"
"Atmospheric","atmospheric:aspen_stairs",3447,"Aspen Stairs"
"Atmospheric","atmospheric:aspen_trapdoor",3450,"Aspen Trapdoor"
"Atmospheric","atmospheric:aspen_trapped_chest",3462,"Aspen Trapped Chest"
"Atmospheric","atmospheric:aspen_vertical_slab",3456,"Aspen Vertical Slab"
"Atmospheric","atmospheric:aspen_wood",3443,"Aspen Wood"
"Atmospheric","atmospheric:barrel_cactus",3385,"Barrel Cactus"
"Atmospheric","atmospheric:barrel_cactus_batch",3412,"Barrel Cactus Batch"
"Atmospheric","atmospheric:chiseled_arid_sandstone",3349,"Chiseled Arid Sandstone"
"Atmospheric","atmospheric:chiseled_ivory_travertine",3315,"Chiseled Ivory Travertine"
"Atmospheric","atmospheric:chiseled_peach_travertine",3316,"Chiseled Peach Travertine"
"Atmospheric","atmospheric:chiseled_persimmon_travertine",3317,"Chiseled Persimmon Travertine"
"Atmospheric","atmospheric:chiseled_red_arid_sandstone",3360,"Chiseled Red Arid Sandstone"
"Atmospheric","atmospheric:chiseled_saffron_travertine",3318,"Chiseled Saffron Travertine"
"Atmospheric","atmospheric:crustose",3463,"Crustose"
"Atmospheric","atmospheric:crustose_log",3464,"Crustose Log"
"Atmospheric","atmospheric:crustose_wood",3465,"Crustose Wood"
"Atmospheric","atmospheric:cut_arid_sandstone",3347,"Cut Arid Sandstone"
"Atmospheric","atmospheric:cut_arid_sandstone_slab",3348,"Cut Arid Sandstone Slab"
"Atmospheric","atmospheric:cut_arid_sandstone_vertical_slab",3387,"Cut Arid Sandstone Vertical Slab"
"Atmospheric","atmospheric:cut_ivory_travertine",3319,"Cut Ivory Travertine"
"Atmospheric","atmospheric:cut_peach_travertine",3320,"Cut Peach Travertine"
"Atmospheric","atmospheric:cut_persimmon_travertine",3321,"Cut Persimmon Travertine"
"Atmospheric","atmospheric:cut_red_arid_sandstone",3358,"Cut Red Arid Sandstone"
"Atmospheric","atmospheric:cut_red_arid_sandstone_slab",3359,"Cut Red Arid Sandstone Slab"
"Atmospheric","atmospheric:cut_red_arid_sandstone_vertical_slab",3395,"Cut Red Arid Sandstone Vertical Slab"
"Atmospheric","atmospheric:cut_saffron_travertine",3322,"Cut Saffron Travertine"
"Atmospheric","atmospheric:flowering_morado_leaf_carpet",3303,"Flowering Morado Leaf Carpet"
"Atmospheric","atmospheric:flowering_morado_leaves",3302,"Flowering Morado Leaves"
"Atmospheric","atmospheric:gilia",3382,"Gilia"
"Atmospheric","atmospheric:grimwood",3471,"Grimwood"
"Atmospheric","atmospheric:grimwood_beehive",3487,"Grimwood Beehive"
"Atmospheric","atmospheric:grimwood_boat",3495,"Grimwood Boat"
"Atmospheric","atmospheric:grimwood_bookshelf",3484,"Grimwood Bookshelf"
"Atmospheric","atmospheric:grimwood_button",3479,"Grimwood Button"
"Atmospheric","atmospheric:grimwood_chest",3488,"Grimwood Chest"
"Atmospheric","atmospheric:grimwood_door",3480,"Grimwood Door"
"Atmospheric","atmospheric:grimwood_fence",3476,"Grimwood Fence"
"Atmospheric","atmospheric:grimwood_fence_gate",3478,"Grimwood Fence Gate"
"Atmospheric","atmospheric:grimwood_ladder",3485,"Grimwood Ladder"
"Atmospheric","atmospheric:grimwood_leaf_carpet",3486,"Grimwood Leaf Carpet"
"Atmospheric","atmospheric:grimwood_leaves",3472,"Grimwood Leaves"
"Atmospheric","atmospheric:grimwood_log",3469,"Grimwood Log"
"Atmospheric","atmospheric:grimwood_planks",3466,"Grimwood Planks"
"Atmospheric","atmospheric:grimwood_pressure_plate",3475,"Grimwood Pressure Plate"
"Atmospheric","atmospheric:grimwood_sapling",3467,"Grimwood Sapling"
"Atmospheric","atmospheric:grimwood_sign",3481,"Grimwood Sign"
"Atmospheric","atmospheric:grimwood_slab",3473,"Grimwood Slab"
"Atmospheric","atmospheric:grimwood_stairs",3474,"Grimwood Stairs"
"Atmospheric","atmospheric:grimwood_trapdoor",3477,"Grimwood Trapdoor"
"Atmospheric","atmospheric:grimwood_trapped_chest",3489,"Grimwood Trapped Chest"
"Atmospheric","atmospheric:grimwood_vertical_slab",3483,"Grimwood Vertical Slab"
"Atmospheric","atmospheric:hot_monkey_brush",3307,"Hot Monkey Brush"
"Atmospheric","atmospheric:ivory_travertine",3311,"Ivory Travertine"
"Atmospheric","atmospheric:ivory_travertine_slab",3327,"Ivory Travertine Slab"
"Atmospheric","atmospheric:ivory_travertine_stairs",3323,"Ivory Travertine Stairs"
"Atmospheric","atmospheric:ivory_travertine_vertical_slab",3335,"Ivory Travertine Vertical Slab"
"Atmospheric","atmospheric:ivory_travertine_wall",3331,"Ivory Travertine Wall"
"Atmospheric","atmospheric:kousa_beehive",3434,"Kousa Beehive"
"Atmospheric","atmospheric:kousa_boat",3493,"Kousa Boat"
"Atmospheric","atmospheric:kousa_bookshelf",3431,"Kousa Bookshelf"
"Atmospheric","atmospheric:kousa_button",3426,"Kousa Button"
"Atmospheric","atmospheric:kousa_chest",3435,"Kousa Chest"
"Atmospheric","atmospheric:kousa_door",3427,"Kousa Door"
"Atmospheric","atmospheric:kousa_fence",3423,"Kousa Fence"
"Atmospheric","atmospheric:kousa_fence_gate",3425,"Kousa Fence Gate"
"Atmospheric","atmospheric:kousa_ladder",3432,"Kousa Ladder"
"Atmospheric","atmospheric:kousa_leaf_carpet",3433,"Kousa Leaf Carpet"
"Atmospheric","atmospheric:kousa_leaves",3419,"Kousa Leaves"
"Atmospheric","atmospheric:kousa_log",3416,"Kousa Log"
"Atmospheric","atmospheric:kousa_planks",3413,"Kousa Planks"
"Atmospheric","atmospheric:kousa_pressure_plate",3422,"Kousa Pressure Plate"
"Atmospheric","atmospheric:kousa_sapling",3414,"Kousa Sapling"
"Atmospheric","atmospheric:kousa_sign",3428,"Kousa Sign"
"Atmospheric","atmospheric:kousa_slab",3420,"Kousa Slab"
"Atmospheric","atmospheric:kousa_stairs",3421,"Kousa Stairs"
"Atmospheric","atmospheric:kousa_trapdoor",3424,"Kousa Trapdoor"
"Atmospheric","atmospheric:kousa_trapped_chest",3436,"Kousa Trapped Chest"
"Atmospheric","atmospheric:kousa_vertical_slab",3430,"Kousa Vertical Slab"
"Atmospheric","atmospheric:kousa_wood",3418,"Kousa Wood"
"Atmospheric","atmospheric:morado_beehive",3299,"Morado Beehive"
"Atmospheric","atmospheric:morado_boat",3491,"Morado Boat"
"Atmospheric","atmospheric:morado_bookshelf",3296,"Morado Bookshelf"
"Atmospheric","atmospheric:morado_button",3291,"Morado Button"
"Atmospheric","atmospheric:morado_chest",3300,"Morado Chest"
"Atmospheric","atmospheric:morado_door",3292,"Morado Door"
"Atmospheric","atmospheric:morado_fence",3288,"Morado Fence"
"Atmospheric","atmospheric:morado_fence_gate",3290,"Morado Fence Gate"
"Atmospheric","atmospheric:morado_ladder",3297,"Morado Ladder"
"Atmospheric","atmospheric:morado_leaf_carpet",3298,"Morado Leaf Carpet"
"Atmospheric","atmospheric:morado_leaves",3284,"Morado Leaves"
"Atmospheric","atmospheric:morado_log",3281,"Morado Log"
"Atmospheric","atmospheric:morado_planks",3278,"Morado Planks"
"Atmospheric","atmospheric:morado_pressure_plate",3287,"Morado Pressure Plate"
"Atmospheric","atmospheric:morado_sapling",3279,"Morado Sapling"
"Atmospheric","atmospheric:morado_sign",3293,"Morado Sign"
"Atmospheric","atmospheric:morado_slab",3285,"Morado Slab"
"Atmospheric","atmospheric:morado_stairs",3286,"Morado Stairs"
"Atmospheric","atmospheric:morado_trapdoor",3289,"Morado Trapdoor"
"Atmospheric","atmospheric:morado_trapped_chest",3301,"Morado Trapped Chest"
"Atmospheric","atmospheric:morado_vertical_slab",3295,"Morado Vertical Slab"
"Atmospheric","atmospheric:morado_wood",3283,"Morado Wood"
"Atmospheric","atmospheric:passion_vine",3304,"Passion Vine"
"Atmospheric","atmospheric:passion_vine_bundle",3305,"Passion Vine Bundle"
"Atmospheric","atmospheric:passion_vine_coil",3244,"Passion Vine Coil"
"Atmospheric","atmospheric:passionfruit",3240,"Passionfruit"
"Atmospheric","atmospheric:passionfruit_crate",3309,"Passionfruit Crate"
"Atmospheric","atmospheric:passionfruit_sorbet",3243,"Passionfruit Sorbet"
"Atmospheric","atmospheric:passionfruit_tart",3242,"Passionfruit Tart"
"Atmospheric","atmospheric:peach_travertine",3312,"Peach Travertine"
"Atmospheric","atmospheric:peach_travertine_slab",3328,"Peach Travertine Slab"
"Atmospheric","atmospheric:peach_travertine_stairs",3324,"Peach Travertine Stairs"
"Atmospheric","atmospheric:peach_travertine_vertical_slab",3336,"Peach Travertine Vertical Slab"
"Atmospheric","atmospheric:peach_travertine_wall",3332,"Peach Travertine Wall"
"Atmospheric","atmospheric:persimmon_travertine",3313,"Persimmon Travertine"
"Atmospheric","atmospheric:persimmon_travertine_slab",3329,"Persimmon Travertine Slab"
"Atmospheric","atmospheric:persimmon_travertine_stairs",3325,"Persimmon Travertine Stairs"
"Atmospheric","atmospheric:persimmon_travertine_vertical_slab",3337,"Persimmon Travertine Vertical Slab"
"Atmospheric","atmospheric:persimmon_travertine_wall",3333,"Persimmon Travertine Wall"
"Atmospheric","atmospheric:red_arid_sand",3350,"Red Arid Sand"
"Atmospheric","atmospheric:red_arid_sandstone",3351,"Red Arid Sandstone"
"Atmospheric","atmospheric:red_arid_sandstone_brick_slab",3398,"Red Arid Sandstone Brick Slab"
"Atmospheric","atmospheric:red_arid_sandstone_brick_stairs",3399,"Red Arid Sandstone Brick Stairs"
"Atmospheric","atmospheric:red_arid_sandstone_brick_vertical_slab",3401,"Red Arid Sandstone Brick Vertical Slab"
"Atmospheric","atmospheric:red_arid_sandstone_brick_wall",3400,"Red Arid Sandstone Brick Wall"
"Atmospheric","atmospheric:red_arid_sandstone_bricks",3397,"Red Arid Sandstone Bricks"
"Atmospheric","atmospheric:red_arid_sandstone_slab",3352,"Red Arid Sandstone Slab"
"Atmospheric","atmospheric:red_arid_sandstone_stairs",3353,"Red Arid Sandstone Stairs"
"Atmospheric","atmospheric:red_arid_sandstone_vertical_slab",3394,"Red Arid Sandstone Vertical Slab"
"Atmospheric","atmospheric:red_arid_sandstone_wall",3354,"Red Arid Sandstone Wall"
"Atmospheric","atmospheric:roasted_yucca_bundle",3379,"Roasted Yucca Bundle"
"Atmospheric","atmospheric:roasted_yucca_cask",3411,"Roasted Yucca Cask"
"Atmospheric","atmospheric:roasted_yucca_fruit",3247,"Roasted Yucca Fruit"
"Atmospheric","atmospheric:rosewood",3259,"Rosewood"
"Atmospheric","atmospheric:rosewood_beehive",3275,"Rosewood Beehive"
"Atmospheric","atmospheric:rosewood_boat",3490,"Rosewood Boat"
"Atmospheric","atmospheric:rosewood_bookshelf",3272,"Rosewood Bookshelf"
"Atmospheric","atmospheric:rosewood_button",3267,"Rosewood Button"
"Atmospheric","atmospheric:rosewood_chest",3276,"Rosewood Chest"
"Atmospheric","atmospheric:rosewood_door",3268,"Rosewood Door"
"Atmospheric","atmospheric:rosewood_fence",3264,"Rosewood Fence"
"Atmospheric","atmospheric:rosewood_fence_gate",3266,"Rosewood Fence Gate"
"Atmospheric","atmospheric:rosewood_ladder",3273,"Rosewood Ladder"
"Atmospheric","atmospheric:rosewood_leaf_carpet",3274,"Rosewood Leaf Carpet"
"Atmospheric","atmospheric:rosewood_leaves",3260,"Rosewood Leaves"
"Atmospheric","atmospheric:rosewood_log",3257,"Rosewood Log"
"Atmospheric","atmospheric:rosewood_planks",3254,"Rosewood Planks"
"Atmospheric","atmospheric:rosewood_pressure_plate",3263,"Rosewood Pressure Plate"
"Atmospheric","atmospheric:rosewood_sapling",3255,"Rosewood Sapling"
"Atmospheric","atmospheric:rosewood_sign",3269,"Rosewood Sign"
"Atmospheric","atmospheric:rosewood_slab",3261,"Rosewood Slab"
"Atmospheric","atmospheric:rosewood_stairs",3262,"Rosewood Stairs"
